passer_player_name,week,season,posteam,defteam,complete_pass,incomplete_pass,interception,qb_hit,sack,pass_touchdown,passing_yards,pass_attempts,def_complete_pass_allowed,def_avg_ints,def_avg_qb_hit,def_avg_sack,def_avg_td_allowed,def_avg_yards_allowed,2023_qb_completion_avg,2023_qb_yards_avg,2023_qb_attempts_avg,2023_qb_int_avg
B.Mayfield,15,2020,CLE,NYG,27.0,5.0,0.0,1.0,1.0,2.0,297.0,32.0,20.4,1.0,4.2,1.6,1.3,226.6,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,2,2023,TB,CHI,26.0,8.0,0.0,1.0,0.0,1.0,317.0,34.0,25.625,1.0,5.75,1.625,1.875,263.0,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,3,2021,CLE,CHI,19.0,11.0,0.0,5.0,5.0,1.0,246.0,30.0,25.625,1.0,5.75,1.625,1.875,263.0,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,3,2019,CLE,LA,18.0,17.0,1.0,3.0,3.0,1.0,195.0,35.0,21.25,0.375,5.25,2.125,1.0,234.875,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,3,2020,CLE,WAS,16.0,7.0,0.0,4.0,2.0,2.0,156.0,23.0,22.818181818181817,0.5454545454545454,5.636363636363637,2.8181818181818183,2.3636363636363638,277.3636363636364,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,3,2022,CAR,NO,12.0,13.0,0.0,5.0,3.0,1.0,170.0,25.0,19.714285714285715,0.8571428571428571,3.5714285714285716,1.4285714285714286,1.2857142857142858,194.57142857142858,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,4,2023,TB,NO,25.0,6.0,1.0,3.0,1.0,3.0,246.0,31.0,19.714285714285715,0.8571428571428571,3.5714285714285716,1.4285714285714286,1.2857142857142858,194.57142857142858,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,3,2023,TB,PHI,15.0,9.0,1.0,5.0,2.0,1.0,146.0,24.0,27.11111111111111,0.6666666666666666,6.555555555555555,2.6666666666666665,2.111111111111111,275.22222222222223,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,11,2020,CLE,PHI,12.0,9.0,0.0,2.0,3.0,0.0,204.0,21.0,27.11111111111111,0.6666666666666666,6.555555555555555,2.6666666666666665,2.111111111111111,275.22222222222223,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,4,2018,CLE,LV,21.0,18.0,2.0,4.0,2.0,2.0,295.0,39.0,23.0,0.6666666666666666,3.6666666666666665,2.0,1.5555555555555556,235.88888888888889,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,8,2020,CLE,LV,12.0,13.0,0.0,1.0,0.0,0.0,122.0,25.0,23.0,0.6666666666666666,3.6666666666666665,2.0,1.5555555555555556,235.88888888888889,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,14,2022,LA,LV,22.0,12.0,0.0,4.0,4.0,1.0,230.0,34.0,23.0,0.6666666666666666,3.6666666666666665,2.0,1.5555555555555556,235.88888888888889,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,4,2020,CLE,DAL,19.0,10.0,0.0,2.0,2.0,2.0,165.0,29.0,17.333333333333332,0.7777777777777778,4.888888888888889,2.7777777777777777,1.4444444444444444,188.44444444444446,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,4,2022,CAR,ARI,22.0,12.0,2.0,3.0,2.0,1.0,197.0,34.0,18.0,0.5,3.125,2.25,1.375,200.5,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
